majority_protein_id	logFC	AveExpr	t	P.Value	adj.P.Val	B
50	P0A7E5	-1.17147468091896	29.7611575056976	-14.2508799121515	5.54911925314763e-07	4.90916809935062e-05	6.97458886901206
52	P0AC53	-1.25552984994511	29.4838792685632	-14.1869695699396	5.74583073731169e-07	4.90916809935062e-05	6.93996710816608
54	P27298	-1.11664295941324	31.1463263134934	-14.1459641210552	5.87615226571928e-07	4.90916809935062e-05	6.91765973714156
55	P0A855	-1.24572248055117	29.7274154422134	-14.1107936148173	5.99057089244157e-07	4.90916809935062e-05	6.8984679347979
56	P76658	-1.32694463712966	29.5042279826349	-14.075300939369	6.10857364923692e-07	4.90916809935062e-05	6.87904514042806
57	Q01081;Q01081-4	1.60252476262188	31.3797942199394	14.0349583958315	6.24587332557674e-07	4.90916809935062e-05	6.85690071411342
58	P05386	1.67335394711919	30.398165864407	13.982130865253	6.43091956768429e-07	4.90916809935062e-05	6.82779381134604
59	P24171	-1.13929250449372	29.825984466879	-13.9343116864999	6.6037298739638e-07	4.90916809935062e-05	6.80133889178613
60	P62854;Q5JNZ5;F8VZW7	1.6230707613981	28.1852783308457	13.912850742288	6.68297206613821e-07	4.90916809935062e-05	6.78943271512185
62	P0AG30	-1.10025943293967	30.4959100829299	-13.8951415670215	6.74916369961863e-07	4.90916809935062e-05	6.77959233206982
65	O00571;O00571-2;B4DXX7;O15523;B4DLU5	1.07440549688759	31.350789420567	13.8634469014858	6.86947006717151e-07	4.90916809935062e-05	6.76194531833778
70	P0AF08	-1.72231065475311	27.1023871789623	-13.5954237372267	7.98858564144988e-07	4.90916809935062e-05	6.61087695544175
71	A8MUB1;P68366	1.27326872895912	29.6916127455311	13.5808067720887	8.05524730178223e-07	4.90916809935062e-05	6.60254253616086
74	P21367	-1.06865495170499	33.4486858913071	-13.5539822959786	8.17920886408082e-07	4.90916809935062e-05	6.58722145931041
75	P0AEG4	-1.20852020884613	29.3398698159849	-13.5324823015544	8.28010792287583e-07	4.90916809935062e-05	6.57491707747539
76	P0A6N8	-2.0342363083268	25.9136273907972	-13.5121356768856	8.37687936076234e-07	4.90916809935062e-05	6.56325268310097
78	P0A6J5	-1.39893028362902	29.7935071113517	-13.4830667191929	8.51734015033435e-07	4.90916809935062e-05	6.54655393566041
79	P0AAB6	-1.40349630315025	28.4547213794571	-13.4640665273453	8.61057341289237e-07	4.90916809935062e-05	6.53561755541944
80	P0AB38	-1.60866786408646	28.5984302165755	-13.4508907371731	8.67589745068911e-07	4.90916809935062e-05	6.52802357950005
81	G3V203;Q07020;F8VWC5;H0YHA7;F8VUA6;F8VYV2;E7EW92	1.11911608893925	30.1680212214949	13.4504063239946	8.67830966807754e-07	4.90916809935062e-05	6.52774422638181
82	P12956;B1AHC9;B1AHC7;B1AHC8;F5H1I8	1.00484989712341	32.5278678187537	13.4193611874941	8.83448187373231e-07	4.90916809935062e-05	6.50981765607195
83	P0ADP9	-1.38182332401425	29.2330651736131	-13.4164367071508	8.849354874593e-07	4.90916809935062e-05	6.50812658351115
84	P23528;G3V1A4;E9PK25;E9PP50;E9PQB7;E9PLJ3;E9PS23	1.0936532143789	32.7384383502772	13.4126917577302	8.86844147897055e-07	4.90916809935062e-05	6.50596047942548
85	P06149	-1.42494330763697	28.1916215642323	-13.3789292238323	9.04261286033226e-07	4.90916809935062e-05	6.48640165313585
86	P0AB89	-1.23626795685061	29.6613775118553	-13.3739702797292	9.06851575726658e-07	4.90916809935062e-05	6.48352429911468
87	P76046	-2.4094959269907	25.2885090131882	-13.3596994094018	9.1435239538902e-07	4.90916809935062e-05	6.47523723512132
88	P0ABI8	-1.5462523954853	28.2823029017483	-13.3272634820099	9.31660572450037e-07	4.90916809935062e-05	6.45636523506378
89	P0A6P5	-1.34727430734572	28.2027510023997	-13.2746730072199	9.60508519465106e-07	4.90916809935062e-05	6.42565858592497
90	P0AAC0	-1.07959665465539	30.2381775757963	-13.2674904192054	9.64525506893496e-07	4.90916809935062e-05	6.42145436688635
91	P0AEK2	-1.11840861723052	30.5651043186781	-13.2631852139744	9.66942281367669e-07	4.90916809935062e-05	6.41893317524574
94	P37095	-1.02081724595851	30.2096658552664	-13.2451059845902	9.77165536071258e-07	4.90916809935062e-05	6.40833583983595
95	P64604	-1.75481823945809	26.8876761481831	-13.206191395753	9.99583688203147e-07	4.90916809935062e-05	6.38547139279205
96	Q47146	-1.32560367116547	29.4156882062166	-13.1915022411903	1.00819512605476e-06	4.90916809935062e-05	6.37682139834207
97	P0ACB7	-2.00007177739371	27.9172753707775	-13.172626098601	1.01938334690977e-06	4.90916809935062e-05	6.36569022705584
98	P76142	-1.30783313771144	28.6850442739875	-13.1626307736973	1.02536399031461e-06	4.90916809935062e-05	6.35978891914454
99	P0ADC1	-1.40499027390106	28.3547972700491	-13.1275828746125	1.04664713869131e-06	4.90916809935062e-05	6.33905738895914
100	P0A9C5	-1.26491069622208	30.3053257425128	-13.1074391183252	1.05910315053549e-06	4.90916809935062e-05	6.32711440784944
101	P27695;G3V3M6;G3V5Q1;G3V3C7	1.22009287188433	30.3970701253446	13.104769755049	1.06076618377883e-06	4.90916809935062e-05	6.32553026319246
103	P0ADG7	-1.23108660378726	31.1274706749591	-13.0878244992344	1.0713916307791e-06	4.90916809935062e-05	6.31546576191092
104	P68187	-1.55419440481662	29.0607722319495	-13.081200677281	1.07557741406773e-06	4.90916809935062e-05	6.3115277066776
105	P64467	-1.80351751467838	26.9783386501932	-13.0545403304969	1.09261096074675e-06	4.90916809935062e-05	6.29565520594968
107	P69805	-1.02143819183226	30.8243782837555	-13.0381547361919	1.10322959979101e-06	4.90916809935062e-05	6.28588224001528
108	Q46851	-1.1807550918155	29.7157808526692	-13.0318170318891	1.10736767201599e-06	4.90916809935062e-05	6.28209859283786
109	P0ACA7	-1.71482410542234	28.2585872621584	-13.0077348093743	1.12325085538551e-06	4.90916809935062e-05	6.26770296711581
110	P27248	-1.19903782740474	29.9632468960607	-13.0065614485048	1.12403122308937e-06	4.90916809935062e-05	6.26700082229434
113	E7EUT4;E7EUT5	4.44695372793424	24.1013441693742	12.9375956168526	1.17098240566679e-06	4.90916809935062e-05	6.22560922893547
114	P04083	1.00314449131663	31.7470201886555	12.9278235335831	1.17781097459136e-06	4.90916809935062e-05	6.21972477733896
116	P0AC02	-1.59258781499032	27.3819061057802	-12.8859842468217	1.20755585250707e-06	4.90916809935062e-05	6.19447546117503
117	P63224	-1.24523169220705	30.1406144928082	-12.8849217611411	1.20832207641719e-06	4.90916809935062e-05	6.19383310576231
118	P0AA16	-1.27603147296392	28.8596171089709	-12.8751095719309	1.21542402588559e-06	4.90916809935062e-05	6.18789814423982
120	P0AEK4	-1.15220981713033	31.8735796773175	-12.8326334316007	1.24671138373621e-06	4.90916809935062e-05	6.16214927976455
121	P0A7M2	-1.42086718907796	30.5397284831157	-12.7820645748693	1.28514107679614e-06	4.90916809935062e-05	6.1313735433607
122	P0A9T4	-1.48489454214315	27.5741567861603	-12.7788079300487	1.28766102640556e-06	4.90916809935062e-05	6.12938704966545
123	Q9UMS4	1.16559366451896	31.7502876542243	12.7729012241075	1.29224568226489e-06	4.90916809935062e-05	6.12578266496973
124	P45464	-1.35076877124311	27.8914974711399	-12.7705501682198	1.29407560082e-06	4.90916809935062e-05	6.1243475025705
125	P0AFP6	-1.18835251454633	30.0276571801314	-12.7496635576897	1.31046039760154e-06	4.90916809935062e-05	6.11158502754042
126	P37330	-1.09313555425045	29.8536919033505	-12.7426895703325	1.31598284088704e-06	4.90916809935062e-05	6.10731861990062
129	P00961	-1.11690573772252	31.3593644193806	-12.6914485990442	1.3573666452289e-06	4.90916809935062e-05	6.07589366067201
130	P39831	-1.12429784540065	30.5017177143719	-12.6849020058765	1.36275801350314e-06	4.90916809935062e-05	6.07186888856574
131	P21170	-1.42286801837892	29.0090469749401	-12.6795802422173	1.36715834905527e-06	4.90916809935062e-05	6.06859547219782
132	P0ADW3	-1.48488604991849	28.4316335033637	-12.6706437853809	1.37458333180122e-06	4.90916809935062e-05	6.06309531523115
134	P23893	-1.42356086916486	28.9251178314267	-12.626871745249	1.41160994539109e-06	4.90916809935062e-05	6.03609407812588
135	P0AFG0	-1.42405732993556	29.2775238246786	-12.6248699290823	1.41332976739343e-06	4.90916809935062e-05	6.03485682132426
136	P0A8Y3	-2.01577683659317	26.1940864775045	-12.6206740123346	1.41694222212228e-06	4.90916809935062e-05	6.03226277598922
140	P24182	-1.04210407254684	29.8123981086034	-12.5765652425964	1.45554917689188e-06	4.90916809935062e-05	6.00493695944261
142	P0ACD8	-1.20383283648604	28.8663074263326	-12.5571104391096	1.47295027241014e-06	4.90916809935062e-05	5.99285168111978
143	P12758	-1.13042068926978	31.4714465592206	-12.5553280892937	1.47455607636077e-06	4.90916809935062e-05	5.99174348168658
144	P76558	-1.17964944680926	29.9957981838012	-12.5549390517896	1.47490683919186e-06	4.90916809935062e-05	5.99150156998869
145	P0ABD5	-1.15478378837827	30.650861465929	-12.5513498522083	1.47814733031073e-06	4.90916809935062e-05	5.98926934959058
146	P0A9P4	-1.21548045249921	29.7457056005735	-12.5246065315819	1.50254476507149e-06	4.90916809935062e-05	5.97261530061751
147	P31057	-1.79840769559492	29.3161345487108	-12.500862422691	1.52458414350365e-06	4.90916809935062e-05	5.95779689690686
149	P0A9Q1;A5PFK0	-1.10893019166435	30.5594211188408	-12.4909102299326	1.53392919802087e-06	4.90916809935062e-05	5.95157686106466
153	P35659;B4DFG0;P35659-2;D6RDA2	1.13404553388866	31.2994850792473	12.471192135637	1.55263427548708e-06	4.90916809935062e-05	5.93923749002876
154	Q12788	1.03456347304283	29.3059631411725	12.4676065803904	1.55606297330264e-06	4.90916809935062e-05	5.93699143841269
158	P0ACJ0	-1.28818711190212	29.2271856123929	-12.4111988182904	1.61113345552169e-06	4.90916809935062e-05	5.90156524578339
159	P0AES4	-1.09445796588276	30.3023250657859	-12.4013470671803	1.62097360043601e-06	4.90916809935062e-05	5.89536028681402
161	P0AET5	-2.87048216741968	25.6582805697835	-12.3844010412597	1.63805736564424e-06	4.90916809935062e-05	5.88467476855101
163	P0A7A7	-1.23382536043438	28.5329456175086	-12.3753270780251	1.64728782957649e-06	4.90916809935062e-05	5.87894664201122
165	P05020	-1.40140693776797	28.4625558188092	-12.3533729799478	1.66986225152432e-06	4.91951539676346e-05	5.8650690716063
167	P16659	-1.03375804125403	31.0316667780855	-12.3128378798237	1.71245798577108e-06	4.95354009573939e-05	5.83937677208347
168	P0A9M8	-1.09295889484965	31.8760232736914	-12.3083846687735	1.71721122230224e-06	4.95354009573939e-05	5.83654869910529
169	P61978;P61978-2;B4DFF1;Q5T6W1	1.85691055717495	31.0719601594266	12.3949929793802	1.73000304474349e-06	4.95354009573939e-05	5.83649446987216
171	P0ACE0	-1.24976827736631	28.2213072007558	-12.2760599494536	1.75215949404642e-06	4.9808463745963e-05	5.81598768775322
172	P37645	-1.3528750581263	27.6694393197144	-12.2656954153906	1.7635331548765e-06	4.98403178247363e-05	5.80938283082737
174	P0A9A6	-1.06131400576799	30.2077196944564	-12.2297842413604	1.80358432479235e-06	4.99740791469462e-05	5.78645220073453
175	P00550	-1.00159947740937	30.3255912623199	-12.22959297074	1.80380035228288e-06	4.99740791469462e-05	5.78632987560177
179	P05042	-1.30334345461758	27.8716940061052	-12.1593417875219	1.88513801216285e-06	5.11936082520873e-05	5.74126346254515
181	P09152	-1.07245202390352	30.6567289569748	-12.1120674971609	1.94218046361384e-06	5.13066986462416e-05	5.71078108430182
182	P52647	-1.61950548190335	27.6878091969663	-12.086838406793	1.97341094045722e-06	5.13066986462416e-05	5.69446181858134
184	P0AB80	-1.55511357221583	28.391981309283	-12.068146795814	1.99691113573922e-06	5.13066986462416e-05	5.68234802916073
185	B7Z2S5;Q16881-4;Q16881-3;Q16881;E7ESI6;B2R5P6;Q16881-5;E2QRB9;Q16881-2;E9PNQ6;E7EW10;Q16881-6;E9PIR7;F5H780;E9PMY9	1.00998487175644	31.4640855559219	12.0678009837669	1.99734885010945e-06	5.13066986462416e-05	5.68212372608914
186	P64564	-3.91410948923806	22.8480345625297	-12.063856436173	2.00234929357893e-06	5.13066986462416e-05	5.67956470489049
187	P0A8M3	-1.13656835910037	28.9251035423188	-12.0593121898259	2.0081273311088e-06	5.13066986462416e-05	5.67661553370946
188	P31224	-1.27921688661807	27.9061188337319	-12.0492409001197	2.0209996231476e-06	5.13066986462416e-05	5.6700751800421
191	P0ABZ6	-1.19136458837229	29.9434612487799	-12.0449273255325	2.02654108596285e-06	5.13066986462416e-05	5.66727215387658
192	P0AC19	-3.02272474162407	24.5471501033009	-12.0432168497184	2.02874316414684e-06	5.13066986462416e-05	5.66616036730378
195	P21177	-1.18220653978337	28.217006004004	-11.9716589462194	2.12331006066494e-06	5.19107026334387e-05	5.61949885136407
196	P0AE37	-1.40265781932541	27.1312505402951	-11.9711897438209	2.12394618525096e-06	5.19107026334387e-05	5.61919192469653
199	P00962	-1.24285153994525	29.9947483234617	-11.96471822787	2.13274176882304e-06	5.19107026334387e-05	5.61495731900847
201	P24251	-2.32617353367021	25.1428681494496	-11.940712920711	2.16572555484164e-06	5.23760792143543e-05	5.59922848375355
202	P07004	-1.25062089941623	28.3557486170765	-11.9306615213516	2.17970551486765e-06	5.24532104345132e-05	5.59263269382894
204	P0AEI1	-2.03630930072286	25.3555534646939	-11.9081815292187	2.21133849124867e-06	5.26927274801951e-05	5.57786002651857
205	P62280	1.15965690992297	29.0570584374557	11.8987496791735	2.22476324986197e-06	5.2711965243549e-05	5.57165318670239
206	P0A6F3	-1.11405903116115	29.3223339161095	-11.8924131107904	2.23383354045898e-06	5.2711965243549e-05	5.5674803650405
207	P31120	-1.28874062651662	29.1831137496646	-11.8752484564695	2.25861180198183e-06	5.28802182213692e-05	5.55616519203638
210	P0ABJ1	-1.27506356008256	29.4169303981045	-11.8575536105546	2.28447764379501e-06	5.28802182213692e-05	5.54448254058186
214	H0YA96;H0Y8G5;H7BXN2;Q14103-4;B4DTC3;Q14103-3;Q14103-2;Q14103;D6RAF8;F5H6R6;D6RF44	1.05250041274569	32.1787096179077	11.819512859511	2.34121375265124e-06	5.31805609889612e-05	5.51930496702795
216	P78067	-1.22790190342611	28.1472876645089	-11.7943961389719	2.37953740943561e-06	5.33483872249481e-05	5.50263473855586
217	P00946	-1.05772743439594	29.2955101231577	-11.7897569342122	2.38669249089877e-06	5.33483872249481e-05	5.49955158901886
220	P77674	-1.38167111192706	28.0620943158935	-11.760667771012	2.43210908651365e-06	5.35283854397212e-05	5.48019040499502
221	P0AAI9	-1.09901161177335	30.381331415816	-11.7527637473587	2.44461594327179e-06	5.35283854397212e-05	5.47492099925169
223	P11349	-1.30411868530703	29.3374032173321	-11.7401179155289	2.46477580776506e-06	5.3559381933349e-05	5.46648265763043
224	P27278	-1.62569495587827	26.4771723124466	-11.7380608347907	2.46807273257975e-06	5.3559381933349e-05	5.46510910710136
225	Q9NY12-2;Q9NY12	1.38292706396368	29.6488984694177	11.7123547284772	2.50969096715648e-06	5.39277106205633e-05	5.4479234721698
226	P37666	-1.11348819519815	28.2436362774236	-11.7077583080927	2.51721497387328e-06	5.39277106205633e-05	5.44484642525199
227	P15639	-1.06733843197821	28.4563030183765	-11.7049763172421	2.52178114164985e-06	5.39277106205633e-05	5.44298342621527
228	P08506	-1.01319632465651	29.6648964253161	-11.6958928644334	2.53675470280943e-06	5.39277106205633e-05	5.43689735236861
230	P27302	-1.09174333266093	30.9218454837773	-11.6690063182561	2.58166146968807e-06	5.4562853931103e-05	5.41885401294485
231	P49721	1.04845514630418	29.0252581266121	11.656143105092	2.60345982496239e-06	5.47853602127367e-05	5.41020631519136
236	P0AEM9	-1.06152954771347	30.8999150850807	-11.6166587609773	2.67166696573955e-06	5.5029547120593e-05	5.38359965416801
237	P60785	-1.12666608786838	29.0757686082129	-11.6094094660593	2.68440558932647e-06	5.5058631095848e-05	5.37870449000311
239	P07024	-1.8148013007462	26.171878111843	-11.5791458647802	2.73832395159281e-06	5.53390995744011e-05	5.35823436353033
240	P07737	1.10179870151896	33.0836134978717	11.5783259895121	2.73980141119412e-06	5.53390995744011e-05	5.35767903319169
242	P76578	-1.67167168718397	26.4376468338179	-11.5669949749403	2.76031204904212e-06	5.54457721917096e-05	5.34999996319561
243	P0ABH9	-1.18134764761811	27.6734422436159	-11.5282860285198	2.83168608286348e-06	5.66453746864172e-05	5.32370788995466
248	P76329	-1.55903175310752	27.3023267748275	-11.4907906786381	2.9027949001846e-06	5.68971210072473e-05	5.29815292425572
250	P11875	-1.47050163843046	27.8510629291336	-11.4633242571419	2.95615110018657e-06	5.74794019920276e-05	5.27937847077744
253	P0AF90	-2.42344792633426	26.4735685426283	-11.4302409439972	3.02187959755462e-06	5.7787002945693e-05	5.25670294389706
254	P0AES6	-1.17994286984692	29.4793560457226	-11.423049162419	3.03638310441287e-06	5.7787002945693e-05	5.25176470036712
255	P0ADY1	-1.36996374603795	29.0149409347975	-11.4197334204154	3.043096081439e-06	5.7787002945693e-05	5.2494868646281
256	P0A9J6	-1.40480656051792	29.0855694360762	-11.4145089689104	3.05370707826064e-06	5.7787002945693e-05	5.24589640891986
257	P0A8I5	-1.62623469243398	26.6823204622014	-11.4065649182155	3.06992099761154e-06	5.7787002945693e-05	5.2404336912226
258	P16456	-1.24822912498469	28.3979633764459	-11.3968104725985	3.08996172823597e-06	5.7787002945693e-05	5.23372070041624
260	P76272	-1.22816027204131	27.3475677798197	-11.3891492902438	3.10580435130835e-06	5.7787002945693e-05	5.22844414441341
263	P0ABU2	-1.09080903219646	28.0600409563142	-11.376369813886	3.13243358276099e-06	5.7787002945693e-05	5.21963429284377
266	P37685	-1.15510034434918	31.4735710095972	-11.3500191469855	3.18815124104354e-06	5.82616661004234e-05	5.20143665697952
269	P25906	-1.60751320410357	27.8527911093368	-11.2997315105302	3.29758401492648e-06	5.84921701823007e-05	5.16658763437923
270	Q46829	-1.32469241049707	28.4209717654163	-11.2994539467994	3.29819956682884e-06	5.84921701823007e-05	5.1663948435483
271	P0A8J4	-1.83695455382372	28.0577813258748	-11.2988870030501	3.29945727465432e-06	5.84921701823007e-05	5.16600103942817
275	P0AFK0	-1.08906016317734	29.0755078574736	-11.2907327426222	3.3176061083522e-06	5.84921701823007e-05	5.16033477831591
276	P00582	-1.13365269611629	29.0921055402584	-11.2891712512496	3.32109421318967e-06	5.84921701823007e-05	5.15924924561735
277	P36979	-3.10711238242369	22.6457642184414	-11.260981462603	3.38477562337199e-06	5.93985353978745e-05	5.13962551969144
279	P52643	-1.14432200956042	29.0925350387148	-11.2349168073577	3.44487256458434e-06	6.00198047901236e-05	5.12143640518073
281	P0ADG4	-1.77144415529067	27.2996310771518	-11.2074492627732	3.50949780917691e-06	6.02355974449791e-05	5.10222157916744
283	P0ABU0	-1.16360456575249	29.9479472809063	-11.1955746422938	3.53785481050233e-06	6.02355974449791e-05	5.09389984391041
286	P0ACY3	-1.19238500327234	30.3924896994995	-11.1930156068046	3.54399935594816e-06	6.02355974449791e-05	5.09210529241617
290	P69428	-2.08859909707911	26.5263575878706	-11.1454116870564	3.66050441571405e-06	6.12095388007348e-05	5.05864607432648
292	P02931	-1.27913078986664	29.7831226509584	-11.1352129678356	3.68601756356155e-06	6.12095388007348e-05	5.05145880654007
294	Q08211	1.00900817948097	32.4533268538147	11.1181854579928	3.72905767211127e-06	6.14770441233023e-05	5.0394442010175
295	P0ACE7	-1.62004238249245	28.8393791175247	-11.1109325314417	3.74756106692382e-06	6.14770441233023e-05	5.03432085612037
296	P0AB67	-1.10778696054137	28.7532128991169	-11.1013170657282	3.77225004362858e-06	6.14770441233023e-05	5.0275234117386
298	Q8TAQ2;Q8TAQ2-2;F8VTJ5;F8VXC8	1.00655702837053	29.4522142305227	11.0965029701077	3.78467910514248e-06	6.14770441233023e-05	5.02411794439068
299	P64606	-3.11309714130978	22.7169686576687	-11.0935705471405	3.79227247575536e-06	6.14770441233023e-05	5.02204282750501
300	P0AEZ3	-1.23903591919317	28.779065188056	-11.0928663140196	3.79409858814867e-06	6.14770441233023e-05	5.02154439692684
303	P0A901	-1.25464830839416	27.3872359237556	-11.0438952780133	3.92352595331268e-06	6.28765480721248e-05	4.98680549997431
305	P15034	-1.15688953104148	29.409676408909	-11.0331477279815	3.95258667161513e-06	6.28765480721248e-05	4.97916054548461
307	P0AD12	-1.53984077235038	26.9627247730849	-11.0245045325159	3.97613186567542e-06	6.28765480721248e-05	4.97300698808132
308	P0AAI5	-1.33480575398157	29.3418932659252	-11.018619140875	3.9922541181455e-06	6.28765480721248e-05	4.96881406414224
310	P37440	-1.64011403886423	25.8366950846849	-11.0032733686925	4.03463642887367e-06	6.30877485834194e-05	4.9578706220917
311	P39451	-1.50046020317807	27.7555365982772	-10.9991428743791	4.04612982207481e-06	6.30877485834194e-05	4.95492242925881
314	P76418	-1.1534956310138	29.1657810807444	-10.9849674336278	4.08585306939579e-06	6.32526489501049e-05	4.94479600804038
315	P33136	-1.02415533024276	30.1252264702046	-10.9771706492185	4.10788728283466e-06	6.33918732757438e-05	4.93922063614641
316	P23830	-1.00529750324233	29.2872338701905	-10.971646583978	4.12357899539983e-06	6.34326503058183e-05	4.93526803197643
317	P0AF18	-1.26936809914095	27.6034702666134	-10.9495027050534	4.18715687621743e-06	6.42074750009241e-05	4.91940334377469
318	O43175;Q5SZU1;F5H634	1.10293548434852	29.6600954869362	10.942645066141	4.20706754916681e-06	6.43099225047165e-05	4.91448371178181
319	P21362	-1.16530452426435	28.3744690970258	-10.9311796268838	4.2405933496705e-06	6.43542401422058e-05	4.90625151894487
321	P36659	-1.3019088332869	28.900876607202	-10.9260093712797	4.25580912252227e-06	6.43542401422058e-05	4.90253642330242
322	P68679	-1.4246223123226	30.3747366703534	-10.9173790950267	4.28134361147051e-06	6.43542401422058e-05	4.89633117472367
324	P0A9L3	-1.10111572070494	29.9693316480091	-10.9146680559429	4.28940008353727e-06	6.43542401422058e-05	4.89438089216315
326	P21513	-1.05657379654184	29.4625959659534	-10.89858047354	4.33755786974118e-06	6.44092720562975e-05	4.88279766764588
327	P62399	-1.13737668357237	32.7765768214753	-10.8979882120922	4.33934228162565e-06	6.44092720562975e-05	4.88237090477334
328	P55735;A8MV37;A8MXL6	1.59331467045342	28.0904822065547	10.8897451577821	4.36426292862687e-06	6.44092720562975e-05	4.8764288233262
329	P0A6Q3	-1.09118165096299	30.6011492175583	-10.8855629582307	4.37696778523749e-06	6.44092720562975e-05	4.87341231504774
330	P08331	-1.58572664466117	26.2115425854173	-10.8848097881355	4.37926018367835e-06	6.44092720562975e-05	4.87286894975438
331	P0A9I3	-3.61932303805942	24.3567473634787	-10.8826571169479	4.38581959486412e-06	6.44092720562975e-05	4.87131572302244
332	Q59385	-1.30787924011492	26.7826460217278	-10.8741662241222	4.41179945833422e-06	6.44503568649248e-05	4.86518623471775
333	P63104;E7EX29;B0AZS6;E7EX24;B7Z2E6;H0YB80	1.0343965694941	31.3526233087028	10.8622619269914	4.44851338617164e-06	6.44503568649248e-05	4.85658453544541
336	F5H4G7;O60684;F5GYL8;E9PC31;Q5TFJ7;O15131	1.1921287563799	28.5340046332174	10.8601989288248	4.45491049302916e-06	6.44503568649248e-05	4.85509290945752
337	P66948	-1.44086315118906	26.3381313815047	-10.8539485165615	4.47435508181195e-06	6.45395847260769e-05	4.85057188506248
338	P0ACL0	-1.37766689358138	26.5583755797259	-10.847552335303	4.49435135133684e-06	6.46362186948177e-05	4.84594271453308
