"Gene Name","Protein IDs","H_vs_L_log2 fold change","H_vs_L_p.val","H_vs_L_p.adj","significant","H_vs_L_significant","imputed","num_NAs","Protein.names"
"APEX1","P27695",-1.04,0.000148,0.00156,TRUE,TRUE,FALSE,0,"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial"
"aphA","P0AE22",1.08,0.0052,0.0145,TRUE,TRUE,FALSE,0,"Class B acid phosphatase"
"appA","P07102",1.17,0.000524,0.00322,TRUE,TRUE,FALSE,0,"Periplasmic AppA protein;Phosphoanhydride phosphohydrolase;4-phytase"
"appC","P26459",1.11,0.000254,0.0021,TRUE,TRUE,FALSE,0,"Cytochrome bd-II oxidase subunit 1"
"apt","P69503",1.77,0.000136,0.00152,TRUE,TRUE,FALSE,0,"Adenine phosphoribosyltransferase"
"araF","P02924",1.31,6.22e-05,0.00125,TRUE,TRUE,FALSE,0,"L-arabinose-binding periplasmic protein"
"arcA","P0A9Q1",1.3,9.05e-05,0.00133,TRUE,TRUE,FALSE,0,"Aerobic respiration control protein ArcA"
"arcB","P0AEC3",1.59,0.000245,0.00205,TRUE,TRUE,FALSE,0,"Aerobic respiration control sensor protein ArcB"
"ARFGAP1","Q8N6T3-3",1.79,0.00157,0.00637,TRUE,TRUE,TRUE,3,"ADP-ribosylation factor GTPase-activating protein 1"
"argB","P0A6C8",2.2,0.0173,0.0348,TRUE,TRUE,TRUE,2,"Acetylglutamate kinase"
"argE","P23908",1.25,0.0107,0.0244,TRUE,TRUE,FALSE,0,"Acetylornithine deacetylase"
"argG","P0A6E4",1.59,0.000118,0.00147,TRUE,TRUE,FALSE,0,"Argininosuccinate synthase"
"argH","P11447",2.08,0.00227,0.00814,TRUE,TRUE,FALSE,0,"Argininosuccinate lyase"
"argS","P11875",1.51,5.43e-05,0.00125,TRUE,TRUE,FALSE,0,"Arginine--tRNA ligase"
"ARIH1","H0Y2Q2",-1.15,0.000808,0.00422,TRUE,TRUE,FALSE,0,"E3 ubiquitin-protein ligase ARIH1"
"ARL2","P36404",-1.25,0.0024,0.00849,TRUE,TRUE,FALSE,0,"ADP-ribosylation factor-like protein 2"
"ARL8B","Q9NVJ2",-3.06,4.1e-05,0.00125,TRUE,TRUE,FALSE,0,"ADP-ribosylation factor-like protein 8B;ADP-ribosylation factor-like protein 8A"
"aroA","P0A6D3",1.36,0.00358,0.0111,TRUE,TRUE,FALSE,0,"3-phosphoshikimate 1-carboxyvinyltransferase"
"aroB","P07639",1.36,0.000504,0.00313,TRUE,TRUE,FALSE,0,"3-dehydroquinate synthase"
"aroC","P12008",1.12,0.00112,0.00513,TRUE,TRUE,FALSE,0,"Chorismate synthase"
"aroD","P05194",1.28,0.0138,0.0293,TRUE,TRUE,FALSE,0,"3-dehydroquinate dehydratase"
"aroH","P00887",1.7,0.0156,0.0322,TRUE,TRUE,FALSE,0,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive"
"artI","P30859",1.09,0.000143,0.00155,TRUE,TRUE,FALSE,0,"Putative ABC transporter arginine-binding protein 2"
"artJ","P30860",1.28,0.000101,0.00139,TRUE,TRUE,FALSE,0,"ABC transporter arginine-binding protein 1"
"artM","P0AE30",2.83,0.000105,0.00142,TRUE,TRUE,TRUE,1,"Arginine ABC transporter permease protein ArtM"
"artP","P0AAF6",1.36,0.00225,0.0081,TRUE,TRUE,FALSE,0,"Arginine transport ATP-binding protein ArtP"
"artQ","P0AE34",2.11,0.00109,0.00506,TRUE,TRUE,FALSE,0,"Arginine ABC transporter permease protein ArtQ"
"ASCC1","Q8N9N2-2",-1.86,0.0111,0.0249,TRUE,TRUE,TRUE,2,"Activating signal cointegrator 1 complex subunit 1"
"asd","P0A9Q9",1.26,0.000178,0.00174,TRUE,TRUE,FALSE,0,"Aspartate-semialdehyde dehydrogenase"
"asnB","P22106",1.27,0.000654,0.00369,TRUE,TRUE,FALSE,0,"Asparagine synthetase B [glutamine-hydrolyzing]"
"aspA","P0AC38",1.07,5.96e-05,0.00125,TRUE,TRUE,FALSE,0,"Aspartate ammonia-lyase"
"aspC","P00509",1.26,0.000309,0.00237,TRUE,TRUE,FALSE,0,"Aspartate aminotransferase"
"aspS","P21889",1.32,2.41e-05,0.00125,TRUE,TRUE,FALSE,0,"Aspartate--tRNA ligase"
"astA","P0AE37",1.4,2e-05,0.00125,TRUE,TRUE,FALSE,0,"Arginine N-succinyltransferase"
"astB","P76216",1.48,0.0245,0.0455,TRUE,TRUE,TRUE,1,"N-succinylarginine dihydrolase"
"astC","P77581",1.16,4.78e-05,0.00125,TRUE,TRUE,FALSE,0,"Succinylornithine transaminase"
"astD","P76217",1.17,0.000107,0.00143,TRUE,TRUE,FALSE,0,"N-succinylglutamate 5-semialdehyde dehydrogenase"
"astE","P76215",1.56,0.0127,0.0277,TRUE,TRUE,FALSE,0,"Succinylglutamate desuccinylase"
"ATP2B4","P23634-7",-1.04,0.0138,0.0293,TRUE,TRUE,FALSE,0,"Plasma membrane calcium-transporting ATPase 4"
"atpB","P0AB98",3.28,0.000179,0.00174,TRUE,TRUE,FALSE,0,"ATP synthase subunit a"
"atpC","P0A6E6",3.02,0.00109,0.00507,TRUE,TRUE,FALSE,0,"ATP synthase epsilon chain"
"atpD","P0ABB4",1.15,0.000114,0.00145,TRUE,TRUE,FALSE,0,"ATP synthase subunit beta"
"atpH","P0ABA4",1.49,8.64e-05,0.00131,TRUE,TRUE,FALSE,0,"ATP synthase subunit delta"
"ATXN2L","Q8WWM7",-1,0.00325,0.0104,TRUE,TRUE,FALSE,0,"Ataxin-2-like protein"
"baeR","P69228",1.2,0.00207,0.00767,TRUE,TRUE,FALSE,0,"Transcriptional regulatory protein BaeR"
"BAG3","O95817",-1.23,0.00162,0.0065,TRUE,TRUE,FALSE,0,"BAG family molecular chaperone regulator 3"
"bamA","P0A940",1.38,1.64e-05,0.00125,TRUE,TRUE,FALSE,0,"Outer membrane protein assembly factor BamA"
"bamB","P77774",1.28,0.000183,0.00176,TRUE,TRUE,FALSE,0,"Outer membrane protein assembly factor BamB"
"bamC","P0A903",1.51,0.000181,0.00175,TRUE,TRUE,FALSE,0,"Outer membrane protein assembly factor BamC"
"bamD","P0AC02",1.61,1.99e-05,0.00125,TRUE,TRUE,FALSE,0,"Outer membrane protein assembly factor BamD"
"bamE","P0A937",1.58,0.0265,0.0483,TRUE,TRUE,FALSE,0,"Outer membrane protein assembly factor BamE"
"BANF1","O75531",-1.06,0.00436,0.0127,TRUE,TRUE,FALSE,0,"Barrier-to-autointegration factor"
"BASP1","P80723",-1.67,0.00268,0.00918,TRUE,TRUE,FALSE,0,"Brain acid soluble protein 1"
"BCAP29","C9JGJ9",-1.62,0.00132,0.0057,TRUE,TRUE,TRUE,4,"B-cell receptor-associated protein 29"
"betB","P17445",1.1,0.000163,0.00165,TRUE,TRUE,FALSE,0,"Betaine aldehyde dehydrogenase"
"bfr","P0ABD3",1.19,7.54e-05,0.00129,TRUE,TRUE,FALSE,0,"Bacterioferritin"
"bglA","Q46829",1.42,5.73e-05,0.00125,TRUE,TRUE,FALSE,0,"6-phospho-beta-glucosidase BglA"
"bglX","P33363",1.69,0.000202,0.00187,TRUE,TRUE,FALSE,0,"Periplasmic beta-glucosidase"
"bioD2","P0A6E9",1.54,0.000704,0.00386,TRUE,TRUE,FALSE,0,"ATP-dependent dethiobiotin synthetase BioD 2"
"blc","P0A901",1.26,2.35e-05,0.00125,TRUE,TRUE,FALSE,0,"Outer membrane lipoprotein blc"
"bolA","P0ABE2",1.18,0.000202,0.00187,TRUE,TRUE,FALSE,0,"Protein BolA"
"btuB","P06129",1.42,4.92e-05,0.00125,TRUE,TRUE,FALSE,0,"Vitamin B12 transporter BtuB"
"btuE","P06610",1.27,0.000296,0.00231,TRUE,TRUE,FALSE,0,"Vitamin B12 transport periplasmic protein BtuE"
"cadA","P0A9H3",1.9,5.33e-05,0.00125,TRUE,TRUE,FALSE,0,"Lysine decarboxylase, inducible"
"can","P61517",1.52,0.000187,0.00179,TRUE,TRUE,FALSE,0,"Carbonic anhydrase 2"
"carA","P0A6F1",1.04,0.00793,0.0195,TRUE,TRUE,FALSE,0,"Carbamoyl-phosphate synthase small chain"
"carB","P00968",1.06,0.000244,0.00205,TRUE,TRUE,FALSE,0,"Carbamoyl-phosphate synthase large chain"
"CAST","B7Z468",-3,8.9e-05,0.00133,TRUE,TRUE,TRUE,3,"Calpastatin"
"cbpA","P36659",1.4,5.51e-05,0.00125,TRUE,TRUE,FALSE,0,"Curved DNA-binding protein"
"CCDC86","Q9H6F5",-1.08,0.00345,0.0108,TRUE,TRUE,FALSE,0,"Coiled-coil domain-containing protein 86"
"CCNT1","O60563",-1.06,0.00913,0.0216,TRUE,TRUE,FALSE,0,"Cyclin-T1"
"CD320","Q9NPF0",-1.07,0.0163,0.0332,TRUE,TRUE,FALSE,0,"CD320 antigen"
"CD55","H3BLV0",-1.19,0.0248,0.0459,TRUE,TRUE,TRUE,1,"Complement decay-accelerating factor"
"CDA","P32320",-1.42,0.00197,0.00744,TRUE,TRUE,FALSE,0,"Cytidine deaminase"
"CDC42","P60953",-1.03,0.00438,0.0128,TRUE,TRUE,FALSE,0,"Cell division control protein 42 homolog"
"cdd","P0ABF6",1.33,9.73e-05,0.00136,TRUE,TRUE,FALSE,0,"Cytidine deaminase"
"cfa","P0A9H7",1.44,0.0157,0.0323,TRUE,TRUE,FALSE,0,"Cyclopropane-fatty-acyl-phospholipid synthase"
"clcA","P37019",1.15,0.000835,0.0043,TRUE,TRUE,FALSE,0,"H(+)/Cl(-) exchange transporter ClcA"
"CLIC4","Q9Y696",-1.01,0.0108,0.0245,TRUE,TRUE,FALSE,0,"Chloride intracellular channel protein 4"
"clpA","P0ABH9",1.21,2.99e-05,0.00125,TRUE,TRUE,FALSE,0,"ATP-dependent Clp protease ATP-binding subunit ClpA"
"clpB","P63284",1.07,1e-04,0.00138,TRUE,TRUE,FALSE,0,"Chaperone protein ClpB"
"clpP","P0A6G7",1.1,0.000849,0.00434,TRUE,TRUE,FALSE,0,"ATP-dependent Clp protease proteolytic subunit"
"clpX","P0A6H1",1.39,0.000144,0.00155,TRUE,TRUE,FALSE,0,"ATP-dependent Clp protease ATP-binding subunit ClpX"
"CLTA","P09496-2",-1.01,0.000256,0.0021,TRUE,TRUE,FALSE,0,"Clathrin light chain A"
"cmk","P0A6I0",1.45,0.000183,0.00176,TRUE,TRUE,FALSE,0,"Cytidylate kinase"
"CNDP2","Q96KP4",-1.41,0.00716,0.0181,TRUE,TRUE,FALSE,0,"Cytosolic non-specific dipeptidase"
"CNOT7","G3V108",-1.08,0.0144,0.0303,TRUE,TRUE,FALSE,0,"CCR4-NOT transcription complex subunit 7"
"CNP","P09543-2",-1.28,0.00681,0.0174,TRUE,TRUE,FALSE,0,"2,3-cyclic-nucleotide 3-phosphodiesterase"
"cnu","P64467",1.83,2.3e-05,0.00125,TRUE,TRUE,FALSE,0,"OriC-binding nucleoid-associated protein"
"coaBC","P0ABQ0",1.3,2.96e-05,0.00125,TRUE,TRUE,FALSE,0,"Coenzyme A biosynthesis bifunctional protein CoaBC;Phosphopantothenoylcysteine decarboxylase;Phosphopantothenate--cysteine ligase"
"coaD","P0A6I6",2.22,0.000164,0.00165,TRUE,TRUE,FALSE,0,"Phosphopantetheine adenylyltransferase"
"cobB","P75960",1.69,0.003,0.00986,TRUE,TRUE,FALSE,0,"NAD-dependent protein deacylase"
"COG5","Q9UP83",-1.2,0.000953,0.00466,TRUE,TRUE,FALSE,0,"Conserved oligomeric Golgi complex subunit 5"
"COMMD10","Q9Y6G5",-1.74,0.000619,0.00359,TRUE,TRUE,FALSE,0,"COMM domain-containing protein 10"
"COMT","P21964-2",-1.37,0.000249,0.00207,TRUE,TRUE,FALSE,0,"Catechol O-methyltransferase"
"copA","Q59385",1.33,2.65e-05,0.00125,TRUE,TRUE,FALSE,0,"Copper-exporting P-type ATPase A"
"COPE","O14579-2",-1.76,0.00225,0.00812,TRUE,TRUE,FALSE,0,"Coatomer subunit epsilon"
"COQ9","O75208",-1.07,0.0223,0.0424,TRUE,TRUE,FALSE,0,"Ubiquinone biosynthesis protein COQ9, mitochondrial"
"corA","P0ABI4",1.29,0.00279,0.00944,TRUE,TRUE,FALSE,0,"Magnesium transport protein CorA"
"corC","P0AE78",1.07,5.72e-05,0.00125,TRUE,TRUE,FALSE,0,"Magnesium and cobalt efflux protein CorC"
"CPD","O75976",-1.36,0.0218,0.0416,TRUE,TRUE,FALSE,0,"Carboxypeptidase D"
"cpdA","P0AEW4",1.41,0.00267,0.00915,TRUE,TRUE,FALSE,0,"3,5-cyclic adenosine monophosphate phosphodiesterase CpdA"
"cpdB","P08331",1.57,1.57e-05,0.00125,TRUE,TRUE,FALSE,0,"2,3-cyclic-nucleotide 2-phosphodiesterase/3-nucleotidase"
"cptA","P0CB39",1.19,0.013,0.0281,TRUE,TRUE,FALSE,0,"Phosphoethanolamine transferase CptA"
"cpxA","P0AE82",1.51,0.000194,0.00182,TRUE,TRUE,FALSE,0,"Sensor protein CpxA"
"cpxP","P0AE85",1.51,0.000626,0.00359,TRUE,TRUE,FALSE,0,"Periplasmic protein CpxP"
"cra","P0ACP1",1.29,0.0077,0.0191,TRUE,TRUE,FALSE,0,"Catabolite repressor/activator"
"CRIP2","P52943",-1.16,0.00102,0.00485,TRUE,TRUE,FALSE,0,"Cysteine-rich protein 2"
"crl","P24251",2.3,1.04e-05,0.00125,TRUE,TRUE,FALSE,0,"Sigma factor-binding protein crl"
"CRLF3","B4DJU5",-1.06,0.00367,0.0113,TRUE,TRUE,FALSE,0,"Cytokine receptor-like factor 3"
"CRNKL1","Q9BZJ0-2",-1.25,0.00127,0.00557,TRUE,TRUE,FALSE,0,"Crooked neck-like protein 1"
"crr","P69783",1.24,9.2e-05,0.00134,TRUE,TRUE,FALSE,0,"Glucose-specific phosphotransferase enzyme IIA component"
"CSDA","P16989-3",-1.51,0.000233,0.00201,TRUE,TRUE,FALSE,0,"DNA-binding protein A"
"csiD","P76621",1.47,0.000124,0.00148,TRUE,TRUE,FALSE,0,"Protein CsiD"
"csiE","P54901",1.18,4.1e-05,0.00125,TRUE,TRUE,FALSE,0,"Stationary phase-inducible protein CsiE"
"cspC","P0A9Y6",1.01,0.00123,0.00548,TRUE,TRUE,FALSE,0,"Cold shock-like protein CspC"
"cspE","P0A972",1.26,0.00021,0.00189,TRUE,TRUE,FALSE,0,"Cold shock-like protein CspE"
"csrA","P69913",2.2,0.000421,0.00283,TRUE,TRUE,TRUE,3,"Carbon storage regulator"
"CSRP1","E9PP21",-2.09,0.0013,0.00568,TRUE,TRUE,FALSE,0,"Cysteine and glycine-rich protein 1"
"cstA","P15078",1.26,0.000428,0.00285,TRUE,TRUE,FALSE,0,"Carbon starvation protein A"
"CTCF","P49711",-1.25,0.0272,0.0493,TRUE,TRUE,FALSE,0,"Transcriptional repressor CTCF"
"CTSA","P10619",-1.04,0.00143,0.006,TRUE,TRUE,FALSE,0,"Lysosomal protective protein;Lysosomal protective protein 32 kDa chain;Lysosomal protective protein 20 kDa chain"
"cueO","P36649",1.19,0.00034,0.00252,TRUE,TRUE,FALSE,0,"Blue copper oxidase CueO"
"CUL3","Q13618-2",-1.35,0.00128,0.00562,TRUE,TRUE,FALSE,0,"Cullin-3"
"curA","P76113",1.23,0.000498,0.00312,TRUE,TRUE,FALSE,0,"NADPH-dependent curcumin reductase"
"cusR","P0ACZ8",1.92,0.016,0.0328,TRUE,TRUE,FALSE,0,"Transcriptional regulatory protein CusR"
"cusS","P77485",1.53,0.0112,0.0252,TRUE,TRUE,FALSE,0,"Sensor kinase CusS"
"cutA","P69488",1.65,0.00352,0.011,TRUE,TRUE,FALSE,0,"Divalent-cation tolerance protein CutA"
"cutC","P67826",1.53,0.00445,0.0129,TRUE,TRUE,FALSE,0,"Copper homeostasis protein CutC"
"CWC27","Q6UX04",-2.81,0.0246,0.0456,TRUE,TRUE,TRUE,2,"Peptidyl-prolyl cis-trans isomerase CWC27 homolog"
"CYB5B","H3BQB8",-1.91,0.0204,0.0397,TRUE,TRUE,TRUE,1,"Cytochrome b5 type B"
"cydA","P0ABJ9",1.32,5.31e-05,0.00125,TRUE,TRUE,FALSE,0,"Cytochrome d ubiquinol oxidase subunit 1"
"cydB","P0ABK2",1.35,0.0129,0.0279,TRUE,TRUE,FALSE,0,"Cytochrome d ubiquinol oxidase subunit 2"
"cydC","P23886",1.36,0.000186,0.00179,TRUE,TRUE,FALSE,0,"ATP-binding/permease protein CydC"
"cydD","P29018",1.27,7.7e-05,0.00129,TRUE,TRUE,FALSE,0,"ATP-binding/permease protein CydD"
"cyoA","P0ABJ1",1.4,7.22e-05,0.00127,TRUE,TRUE,FALSE,0,"Ubiquinol oxidase subunit 2"
"cyoB","P0ABI8",1.65,2.09e-05,0.00125,TRUE,TRUE,FALSE,0,"Ubiquinol oxidase subunit 1"
"cysB","P0A9F3",1.31,0.00195,0.00741,TRUE,TRUE,FALSE,0,"HTH-type transcriptional regulator CysB"
"cysE","P0A9D4",1.28,0.000151,0.00158,TRUE,TRUE,FALSE,0,"Serine acetyltransferase"
"cysI","P17846",1.64,2.73e-05,0.00125,TRUE,TRUE,FALSE,0,"Sulfite reductase [NADPH] hemoprotein beta-component"
"cysJ","P38038",1.06,0.00375,0.0114,TRUE,TRUE,FALSE,0,"Sulfite reductase [NADPH] flavoprotein alpha-component"
"cysP","P16700",2.52,0.00011,0.00144,TRUE,TRUE,FALSE,0,"Thiosulfate-binding protein"
"cysS","P21888",1.31,0.000128,0.0015,TRUE,TRUE,FALSE,0,"Cysteine--tRNA ligase"
"cysZ","P0A6J3",2.14,4.41e-05,0.00125,TRUE,TRUE,FALSE,0,"Protein CysZ"
"dacA","P0AEB2",1.1,7.54e-05,0.00129,TRUE,TRUE,FALSE,0,"D-alanyl-D-alanine carboxypeptidase dacA"
"dacB","P24228",2.11,0.000154,0.00159,TRUE,TRUE,FALSE,0,"D-alanyl-D-alanine carboxypeptidase dacB"
"dacC","P08506",1.17,4.24e-05,0.00125,TRUE,TRUE,FALSE,0,"D-alanyl-D-alanine carboxypeptidase dacC"
"dadA","P0A6J5",1.56,3.69e-05,0.00125,TRUE,TRUE,FALSE,0,"D-amino acid dehydrogenase small subunit"
"dadX","P29012",1.12,0.00253,0.00882,TRUE,TRUE,FALSE,0,"Alanine racemase, catabolic"
"dapA","P0A6L2",1.02,0.00153,0.00627,TRUE,TRUE,FALSE,0,"Dihydrodipicolinate synthase"
"dapB","P04036",1.14,5.44e-05,0.00125,TRUE,TRUE,FALSE,0,"Dihydrodipicolinate reductase"
"dapD","P0A9D8",1.13,5.79e-05,0.00125,TRUE,TRUE,FALSE,0,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
"dapF","P0A6K1",1.54,0.00254,0.00882,TRUE,TRUE,FALSE,0,"Diaminopimelate epimerase"
"DBR1","Q9UK59",-1.76,0.00601,0.0159,TRUE,TRUE,TRUE,1,"Lariat debranching enzyme"
"DCK","P27707",-1.36,0.00429,0.0126,TRUE,TRUE,FALSE,0,"Deoxycytidine kinase"
"dcp","P24171",1.32,2.12e-05,0.00125,TRUE,TRUE,FALSE,0,"Peptidyl-dipeptidase dcp"
"dcrB","P0AEE1",1.05,0.000279,0.00222,TRUE,TRUE,FALSE,0,"Protein dcrB"
"dctA","P0A830",1.83,1.64e-05,0.00125,TRUE,TRUE,FALSE,0,"Aerobic C4-dicarboxylate transport protein"
"DCTPP1","Q9H773",-1.32,0.000772,0.00409,TRUE,TRUE,FALSE,0,"dCTP pyrophosphatase 1"
"dcuA","P0ABN5",1.07,0.000586,0.00345,TRUE,TRUE,FALSE,0,"Anaerobic C4-dicarboxylate transporter DcuA"
"dcuC","P0ABP3",1.61,0.000416,0.00282,TRUE,TRUE,FALSE,0,"Anaerobic C4-dicarboxylate transporter DcuC"
"dcyD","P76316",1.17,0.000407,0.00277,TRUE,TRUE,FALSE,0,"D-cysteine desulfhydrase"
"ddlA","P0A6J8",1.33,0.00038,0.00266,TRUE,TRUE,FALSE,0,"D-alanine--D-alanine ligase A"
"ddlB","P07862",2.09,0.00158,0.00641,TRUE,TRUE,FALSE,0,"D-alanine--D-alanine ligase B"
"ddpA","P76128",1.78,0.00182,0.00705,TRUE,TRUE,FALSE,0,"Probable D,D-dipeptide-binding periplasmic protein ddpA"
"DDT","P30046",-1.11,0.0163,0.0333,TRUE,TRUE,FALSE,0,"D-dopachrome decarboxylase;D-dopachrome decarboxylase-like protein"
"degP","P0C0V0",1.23,2.28e-05,0.00125,TRUE,TRUE,FALSE,0,"Periplasmic serine endoprotease DegP"
"degQ","P39099",1.33,0.000398,0.00274,TRUE,TRUE,FALSE,0,"Periplasmic pH-dependent serine endoprotease DegQ"
"degS","P0AEE3",1.49,0.000615,0.00357,TRUE,TRUE,FALSE,0,"Serine endoprotease DegS"
"deoA","P07650",1.35,1.97e-05,0.00125,TRUE,TRUE,FALSE,0,"Thymidine phosphorylase"
"deoB","P0A6K6",1.15,4.04e-05,0.00125,TRUE,TRUE,FALSE,0,"Phosphopentomutase"
"deoD","P0ABP8",1.1,0.000953,0.00466,TRUE,TRUE,FALSE,0,"Purine nucleoside phosphorylase DeoD-type"
